Pytanie,Odpowiedź,link do testu w B2,rodzaj zagadki,Zaskakujące odpowiedzi Bielika,Prawidłowe,Odpowiedź: speakleash/Bielik-7B-Instruct-v0.1,Ocena
"Leciał klucz gęsi: jedna gęś na przodzie a dwie z tylłu, jedna z tyłu, dwie na przodzie, jedna między dwiema, a trzy w jednym rzędzie. Ile bylo wszystkich gęsi?",Były trzy gęsi.,,,,T,"  To zagadka, która może sprawić trudność, ponieważ liczba gęsi zmienia się w zależności od tego, gdzie patrzymy. Oto kilka różnych perspektyw:

1. Perspektywa przednia (tak jakbyś patrzył z przodu):
Jedna gęś na przodzie, dwie z tyłu, jedna z tyłu, dwie na przodzie, jedna między dwoma, trzy w jednym rzędzie.
To daje 1 + 2 + 1 + 2 + 1 + 3 = 11 gęsi.

2. Perspektywa tylna (tak jakbyś patrzył z tyłu):
Jedna gęś na przodzie, dwie z tyłu, jedna z tyłu, dwie na przodzie, jedna między dwoma, trzy w jednym rzędzie.
To daje 1 + 2 + 1 + 2 + 1 + 3 = 10 gęsi.

3. Perspektywa boczna (tak jakbyś patrzył z boku):
Jedna gęś na przodzie, dwie z tyłu, jedna z tyłu, dwie na przodzie, jedna między dwoma, trzy w jednym rzędzie.
To daje 1 + 2 + 1 + 2 + 1 + 3 = 10 gęsi.

W zależności od perspektywy, z jakiej patrzysz na tę sytuację, możesz dojść do różnych wniosków. W rzeczywistości jest 10 gęsi.",0
Który stół będzie szybszy - taki z trzema czy czterema nogami?,"Stoły nie chodzą ani nie biegają, więc żaden z nich nie będzie szybszy.",,,,T,"  Oba stoły będą miały podobną szybkość, o ile są wykonane z solidnych materiałów i mają odpowiednią konstrukcję. Ilość nóg nie wpływa bezpośrednio na szybkość stołu. Wpływ na szybkość mogą mieć inne czynniki, takie jak materiał blatu, grubość blatu, jakość wykonania nóg i ich stabilność, a także waga stołu. Jeśli oba stoły są dobrze wykonane i mają podobne parametry, nie ma znaczącej różnicy w szybkości między stołem z trzema nogami a stołem z czterema nogami.",0
"Czy jeśli mam problemy z językiem jednego swojego buta, to warto udać się z nim do laryngologa?","Język to część obuwia, która nie ma nic wspólnego z językiem człowieka, który mógłby być leczony u laryngologa.",,,,T,"  Nie, jeśli masz problemy z językiem jednego swojego buta, nie musisz udawać się do laryngologa. Laryngolog to lekarz specjalizujący się w chorobach gardła, nosa, uszu i krtani. Twój problem prawdopodobnie leży w obuwiu i może wymagać pomocy specjalisty od obuwia lub rzemieślnika zajmującego się naprawą butów.",5
"Jeśli człowiek w Krakowie biegnie na północ z prędkością 10 kilometrów na godzinie, a pies w tym samym mieście biegnie na południe z prędkością 15 kilometrów na godzinę, to w którą stronę i z jaką prędkością wieje wiatr?",Nie da się tego określić na podstawie podanych danych.,,,,T,"  Wiatr nie wieje ani w kierunku człowieka biegnącego na północ, ani w kierunku psa biegnącego na południe. Wiatry są zazwyczaj definiowane w odniesieniu do punktów odniesienia, takich jak morze lub ląd, a nie w stosunku do poruszających się obiektów.

Ponadto, prędkość wiatru nie jest bezpośrednio związana z prędkością, z jaką poruszają się obie osoby. Prędkość wiatru zależy od lokalnych warunków atmosferycznych, takich jak temperatura, wilgotność, ciśnienie atmosferyczne i ukształtowanie terenu.

Jeśli miałbyś więcej szczegółów dotyczących lokalnych warunków pogodowych w momencie obserwacji, lub jeśli byłbyś w stanie podać dokładne położenie geograficzne, w którym te osoby się znajdują, moglibyśmy lepiej ocenić warunki wietrzne w tym konkretnym miejscu.",4
Czy drzewo które ma koronę jest królem czy królową?,"Takie drzewo nie jest ani królem, ani królową.",,,,T,"  Drzewo z koroną jest nazywane królem lub królową w języku potocznym. W kontekście biologicznym, drzewa są roślinami, a król i królowa są terminami używanymi w odniesieniu do ludzi, dlatego w języku polskim drzewo z koroną jest częściej określane jako ""król"" lub ""królowa"" w mowie potocznej.",0
"Jeśli na drzewie siedzi 10 ptaków i myśliwy strzela do jednego, ile ptaków zostanie?","Żaden, ponieważ reszta ptaków odleci z powodu hałasu.",,,,T,"  Jeśli na drzewie było 10 ptaków i myśliwy strzela do jednego, to logicznie rzecz biorąc, na drzewie zostanie 9 ptaków, ponieważ jeden ptak padł martwy. Jednakże, w praktyce, wszystkie ptaki są w stanie odlecieć przed strzałem, więc nie będzie nikogo na drzewie po strzale.",4
O ile większa jest powierzchnia Watykanu względem powierzchni Rosji?,Powierzchnia Watykanu nie jest większa. Terytorium Rosji jest większe.,,,,T,"  Powierzchnia Watykanu to 0,44 km², a powierzchnia Rosji to 17 098 242 km². Różnica w powierzchni między nimi to 17 097 600 km², co oznacza, że Rosja jest 382,383 razy większa od Watykanu.",4
Pewna lista jest ponumerowana kolejnymi liczbami naturalnymi od 1 do 100. Ile elementów znajduje się od numeru 25 (włącznie) do numeru 46 (włącznie)?,22 elementy.,,,,T,"  Aby znaleźć, ile elementów znajduje się od numeru 25 do numeru 46, po prostu odejmij numer 24 (poprzedzający numer 25) od numerem 46.

46 - 25 = 21

So, jest 21 elementów od numeru 25 do numeru 46 włącznie.",4
"Ślimak wchodzi na wysoki słup. W ciągu dnia przechodzi 300m w górę, ale w nocy zsuwa się o 200m. Słup ma wysokość 1km. Po ilu dniach ślimak wejdzie na czubek tego słupa?",Ślimak wejdzie na czubek słupa po 8 dniach.,,,,T,"  W ciągu dnia ślimak pokonuje 300m w górę, ale w nocy zsuwa się o 200m w dół. Oznacza to, że w ciągu doby ślimak robi postęp o 100m (300m w górę - 200m w dół).

Słup ma wysokość 1km, czyli 1000m.

Jeśli ślimak robi postęp o 100m na dobę, to aby wejść na sam szczyt słupa, będzie potrzebować 10 dobrych dni (1000m ÷ 100m/dobę = 10 doby).

Jednak po 10 dniach, w jedenastej dobie, ślimak osiągnie szczyt słupa, ponieważ w nocy nie zsuwa się w dół (dotyczy to ostatnich 200m).

Tak więc, ślimak wejdzie na czubek słupa po 11 dniach.",3
"Agnieszka twierdzi, że urodziła się 29 lutego 1981 roku. Ile razy obchodziła swoje urodziny w dniu 29 lutego do 2020 roku? ","W 1981 roku nie wypadał rok przestępny, więc Agnieszka nie mogła się urodzić 29 lutego.",,sprzeczność,,T,"  Agnieszka urodziła się 29 lutego 1981 roku. W dniu 29 lutego swoje urodziny obchodzi co 4 lata. Do 2020 roku, w dniu 29 lutego, miała:

- 2020 - 2000 - 1984 - 1980 - 1976 - 1972 - 1968 - 1964 - 1960 - 1956 - 1952 - 1948 - 1944 - 1940 - 1936 - 1932 - 1928 - 1924 - 1920 - 1916 - 1912 - 1908 - 1904 - 1900 - 1996 - 1992 - 1988 - 1984 - 1980 - 1976 - 1972 - 1968 - 1964 - 1960 - 1956 - 1952 - 1948 - 1944 - 1940 - 1936 - 1932 - 1928 - 1924 - 1920 - 1996 - 1992 - 1988 - 1984 - 1980 - 1976 - 1972 - 1968 - 1964 - 1960 - 1956 - 1952 - 1948 - 1944 - 1940 - 1936 - 1932 - 1928 - 1924 - 1920 - 1996 - 1992 - 1988 - 1984 - 1980 - 1976 - 1972 - 1968 - 1964 - 1960 - 1956 - 1952 - 1948 - 1944 - 1940 - 1936 - 1932 - 1928 - 1924 - 1920 - 1996 - 1992 - 1988 - 1984 - 1980 - 1976 - 1972 - 1968 - 1964 - 1960 - 1956 - 1952 - 1948 - 1944 - 1940 - 1936 - 1932 - 1928 - 1924 - 1920 - 1996 - 1992 - 1988 - 1984 - 1980 - 1976 - 1972 - 1968 - 1964 - 1960 - 1956 - 1952 - 1948 - 1944 - 1940 - 1936 - 1932 - 1928 - 1924 - 1920 - 1996 - 1992 - 1988 - 1984 - 1980 - 1976 - 1972 - 1968 - 1964 - 1960 - 1956 - 1952 - 1948 - 1944 - 1940 - 1936 - 1932 - 1928 - 1924 - 1920 - 1996 - 1992 - 1988 - 198",0
"Jeśli wrzucisz żółtą piłkę do Morza Czerwonego, to jaka piłka będzie mokra?",Żółta piłka będzie mokra.,,,,T,"  Wrzucenie żółtej piłki do Morza Czerwonego nie zmieni jej koloru. Morze Czerwone jest słone, a sól nie wpływa na kolor piłki. Oczywiście, piłka może nabrać lekkiego wilgotnego nalotu po wrzuceniu do wody, ale to nie zmieni jej koloru.",4
"Samochód elektryczny jedzie z prędkością 20km/h w stronę południa, a wiatr wieje z prędkością 10km/h w stronę wschodu. W którą stronę będzie leciał dym?",Samochody elektryczne nie emitują dymu.,,,,T,  Dym będzie leciał w stronę wschodu.,0
"Jeśli kogut zniesie jajko na dachu stodoły, to w którą stronę spadnie to jajko?",Koguty nie mogą znosić jajek.,,,,T,"  Jajko nie spadnie w jedną konkretną stronę. To pytanie ma na celu wywołać filozoficzną dyskusję na temat pojęć takich jak góra, dół, lewo czy prawo w kontekście dwuwymiarowym. Jajko spadnie w kierunku, który można by określić jako ""w dół"", ale tylko w kontekście budynku i ziemi, patrząc z punktu widzenia stodoły. W innych kierunkach, takich jak lewo czy prawo, jajko nie ma ""góry"" czy ""dołu"", chyba że odniesiemy się do poziomu podłogi stodoły i przeciwległego dachu. To pytanie pokazuje, jak relatywne mogą być pojęcia przestrzenne w zależności od punktu odniesienia.",0
W pustym pokoju są 4 kąty i w każdym kącie siedzi kot. Naprzeciwko każdego kota siedzą 3 koty. Ile kotów jest w pokoju?,W pokoju są cztery koty.,,,,T,"  W każdym kącie siedzi 1 kot. Jest 4 kąty, więc jest 4 koty siedzące w kątach.

Naprzeciwko każdego kota siedzi 3 koty. To oznacza, że dla każdego kota siedzącego w kącie, 3 inne koty siedzą naprzeciwko niego.

Ponieważ jest 4 koty w kątach, to 4 koty będą siedzieć naprzeciwko nich.

Dodatkowo, każdy z tych 4 kotów siedzących w kątach ma 3 koty siedzące naprzeciwko siebie, więc to daje 4 koty (siedzące w kątach) razy 3 (koty naprzeciwko), czyli 12 kotów.

Podsumowując, mamy 4 koty w kątach i 12 kotów siedzących naprzeciwko, co daje 16 kotów w sumie w pokoju.",4
Rolnik ma 17 owiec. Wszystkie oprócz 9 zdechły. Ile owiec zostało?,Zostało 9 owiec.,,,,T,"  Owiec, które zostały, jest 17 - 9 = 8 owce.",5
Ile razy można zrobić zdjęcie wschodowi słońca na zachodzie?,Zero. Słońce nie wschodzi na zachodzie.,,,,T,"  Nie można zrobić zdjęcia wschodu słońca na zachodzie. Wschód słońca odnosi się do momentu, gdy słońce pojawia się nad horyzontem na wschodzie. Zachód słońca, z drugiej strony, odnosi się do momentu, gdy słońce znika pod horyzontem na zachodzie. Fotografowanie wschodu słońca wymaga ustawienia aparatu w taki sposób, aby było widać niebo na wschodzie, podczas gdy fotografowanie zachodu słońca wymaga ustawienia aparatu tak, aby było widać niebo na zachodzie.",5
Dlaczego surykatki na Saharze nie boją się niedźwiedzi polarnych?,Bo na Saharze nie ma niedźwiedzi polarnych.,,,,T,"  Surykatki na Saharze nie żyją w bezpośrednim sąsiedztwie niedźwiedzi polarnych. Są to dwa gatunki zwierząt, które zamieszkują zupełnie różne środowiska - surykatki żyją na pustyniach w Afryce, a niedźwiedzie polarne w lodowatych regionach Arktyki.",5
Ile zębów ma typowy noworodek? Zsumuj zęby po wszystkich stronach (góra-dół-lewo-prawo).,Zero. Typowy noworodek nie ma zębów.,,,,T,"  Noworodek ma zazwyczaj 2 zęby: dolny środkowy siekacz. W związku z tym, sumując zęby po wszystkich stronach (góra-dół-lewo-prawo), otrzymujemy 4 zęby.",0
"Adam ma 4 siostry, a każda z jego sióstr ma jednego brata. Ile rodzeństwa ma Adam?","Adam ma 4 siostry i żadnych braci, czyli łącznie 4.",,,,T,"  Adam ma 4 siostry, a każda of the sisters has one brother, which is Adam himself. So, Adam has 4 additional siblings (3 sisters + 1 brother) as well. Therefore, Adam has a total of 4 sisters + 4 brothers = 8 rodzeństwa.",0
Jak uszyć cynadry?,Cynadry to potrawa - nie da się jej uszyć.,,,,T,"  Szycie cynaderek nie jest trudne, ale wymaga trochę wprawy i cierpliwości. Oto kroki, które pomogą Ci uszyć cynadry:

1. Zbierz potrzebne materiały i narzędzia:

- Materiał: wybierz odpowiedni materiał na cynadry, który jest wytrzymały i łatwy w utrzymaniu czystości.
- Nici: użyj mocnych nici, które nie będą się łatwo pruć.
- Nożyczki: będą potrzebne do cięcia materiału.
- Linijka: pomoże w równym cięciu materiału.
- Ołówek: do zaznaczania linii na materiale.
- Igła: używaj igły odpowiedniej do rodzaju materiału.
- Deska do prasowania (opcjonalnie): może pomóc w równym ułożeniu materiału podczas szycia.

2. Przygotuj materiał:

- Wypierz i wysusz materiał, aby usunąć wszelkie zabrudzenia.
- Ułóż materiał na desce do prasowania lub stole.

3. Narysuj wzór:

- Narysuj wzór cynaderek na papierze. Możesz znaleźć gotowe wzory w Internecie lub zrobić własny, dostosowując go do swoich preferencji.
- Przyłóż papier z wzorem do materiału i odrysuj go ołówkiem.

4. Wycinaj materiał:

- Wycinaj materiał wzdłuż narysowanych linii. Pamiętaj o zostawieniu dodatku na szwy.
- Możesz też wycinać materiał w kształt litery ""U"" lub ""V"", w zależności od preferencji.

5. Szyj cynadry:

- Zszyj dwie dłuższe krawędzie cynaderek, zostawiając otwór na przewleczenie przez głowę. Możesz to zrobić na maszynie do szycia lub ręcznie.
- Przewlecz nitkę przez otwór i zaszyj go.
- Zszyj boki cynaderek, aby je wzmocnić.

6. Wykończ boki:

- Możesz ozdobić boki cynaderek, np. przyszywając ozdobne taśmy, kieszenie lub inne elementy.
- Pamiętaj o zostawieniu otworu na przewleczenie przez głowę.

7. Prasuj:

- Prasuj cynadery, aby nadać im odpowiedni kształt i usunąć zagniecenia.

8. Noś i ciesz się swoimi nowymi cynadrami!

Jeśli masz wątpliwości co do któregoś z etapów, warto poszukać tutoriali wideo lub poprosić o pomoc bardziej doświadczoną osobę.",0
"Czy warto w wigilię zjeść typową polską potrawę, zupę grzybową z muchomora sromotnikowego?","Zupa z muchomora sromotnikowego nie jest typową polską potrawą, dodatkowo byłaby trująca. Nie warto nigdy jeść takiej potrawy.",,,,T,"  Zdecydowanie nie warto jeść muchomora sromotnikowego (Amanita phalloides), który jest gatunkiem trującym i może prowadzić do poważnych zatruć, a nawet śmierci. Zupa grzybowa z muchomora sromotnikowego nie jest ani bezpieczna, ani zdrowa. W Polsce istnieje długa tradycja zbierania i spożywania różnych gatunków grzybów, w tym tych jadalnych, jak borowik, podgrzybek czy pieczarka. Jednak zbieranie grzybów wymaga wiedzy i doświadczenia, aby uniknąć pomyłek.

Jeśli chcesz przygotować zupę grzybową na Wigilię, warto sięgnąć po grzyby, które są bezpieczne i zdrowe, takie jak suszone grzyby leśne (borowiki, podgrzybki, maślaki), które można namoczyć i ugotować. Możesz również użyć grzybów hodowlanych, jak pieczarki, które są łatwo dostępne i również nadają się do przygotowania smacznej zupy grzybowej.

Jeśli masz wątpliwości co do identyfikacji zebranych grzybów, warto skonsultować się z doświadczonym grzybiarzem lub specjalistą w dziedzinie grzybów. Możesz również zakupić grzyby już przygotowane i gotowe do użycia w sklepie lub na lokalnym targu.

Podsumowując, zdecydowanie nie warto ryzykować zdrowia i życia, sięgając po muchomora sromotnikowego. Zamiast tego, warto wybierać bezpieczne i jadalne gatunki grzybów, które pozwolą cieszyć się smakiem tradycyjnej polskiej zupy grzybowej na Wigilię.",5
"Jaką fryzurę wybrać do szlafroka, żeby wyglądać elegancko na ekskluzywnym balu sylwestrowym?","Szlafrok to strój domowy, nie nosi się go w miejscach publicznych.",,,,T,"  Na ekskluzywnym balu sylwestrowym warto postawić na fryzurę, która podkreśli elegancję i wyjątkowość okazji. Oto kilka propozycji:

1. Fale Hollywood: Fale w stylu Hollywood nadadzą Twojej fryzurze retro elegancji. Mogą być gładkie i błyszczące lub lekko pofalowane i utrwalone solą morską.

2. Kok z falami: Połączenie eleganckiego koka z falami wokół twarzy może być doskonałym wyborem. Taki kok może być gładki i błyszczący lub lekko pofalowany i delikatnie potargany.

3. Proste włosy z grzywką: Jeśli masz proste włosy, możesz je gładko zebrać w kucyk lub kok. Dodaj do tego grzywkę, która może opadać na policzki lub czoło.

4. Loki i fale z boku: Loki lub fale z boku twarzy mogą dodać romantyzmu i lekkości Twojej fryzurze. Możesz je zestawić z prostym kucykiem lub kokiem.

5. Retro lok: Retro lok to fryzura z lat 20. lub 30., która jest elegancka i pełna wdzięku. Loki te mogą być gładkie i błyszczące lub lekko pofalowane i utrwalone lakierem.

6. Proste włosy z przedziałkiem na środku: Proste włosy z przedziałkiem na środku to klasyczna i elegancka fryzura. Możesz je zestawić z delikatnym makijażem i elegancką suknią.

7. Fryzura z elementami objętości: Jeśli chcesz dodać objętości swojej fryzurze, możesz postawić na fryzurę z elementami objętości, takimi jak loki z warkoczy, fale z falownicy lub objętość w stylu pin-up.

8. Naturalne fale: Jeśli masz naturalnie kręcone włosy, możesz je delikatnie roztrzepać i spryskać lakierem, aby utrzymać je w ryzach przez całą noc.

Wybierając fryzurę na bal sylwestrowy, warto pamiętać o tym, aby była ona wygodna i pasowała do Twojego stylu oraz sukienki. Możesz również skonsultować się z fryzjerem, który doradzi Ci w wyborze odpowiedniej fryzury.",0
W jakim tempie rosną bluzy pnące się po murach starego domu?,Bluza to ubranie. Pnąca roślina to bluszcz.,,,,T,"  Bluzy pnące się po murach starego domu to prawdopodobnie metafora lub symbol, który ma na celu wyrazić szybki wzrost czegoś, np. popularności, zainteresowania, lub wizerunku. W tym kontekście, tempo wzrostu bluz może być interpretowane jako tempo, w jakim dana rzecz zyskuje na znaczeniu lub popularności. Nie jestem jednak w stanie stwierdzić, jakie dokładnie zjawisko autor miał na myśli, ponieważ kontekst lub treść wypowiedzi nie dostarcza wystarczających informacji.",0
"Jak długo trzeba iść, żeby dojść na koniec świata?",Nie można dojść na koniec świata. Obejdziemy Ziemię dookoła i wrócimy do punktu wyjścia.,,,,T,"  Pojęcie ""końca świata"" jest bardzo względne i zależy od interpretacji. W sensie dosłownym, jako miejsce geograficzne, nie ma jednoznacznej lokalizacji. W kulturze i literaturze, koniec świata często oznacza apokaliptyczne wydarzenia lub miejsca, które są odległe i trudno dostępne.

Jeśli chodzi o prawdziwe, dostępne miejsca na Ziemi, które są trudno dostępne, można wymienić kilka przykładów:

1. Półwysep Jamał w Rosji - największy niezamieszkany obszar na Ziemi, rozciągający się na powierzchni około 2,6 miliona hektarów.

2. Wyspa Piotra I w archipelagu Ziemia Franciszka Józefa - najbardziej wysunięta na północ zamieszkana wyspa na świecie.

3. Wyspy Nowa Ziemia w Rosji - archipelag wysp na północnym Oceanie Arktycznym, uważany za trudno dostępny.

4. Wyspy Mc Govern w Antarktyce - jedne z najbardziej odległych i niedostępnych miejsc na Ziemi, oddalone o ponad 1 400 km od bazy naukowej.

W sensie metaforycznym, koniec świata może być interpretowany jako symboliczne granice ludzkiego doświadczenia, niezależnie od dosłownej lokalizacji.",0
Kiedy odbyła się koronacja Emilii Krakowskiej na królową Polski?,Emilia Krakowska nie była nigdy królową Polski. To znana polska aktorka współczesna.,,,,T,  Emilia Krakowska została uroczyście koronowana na królową Polski 15 września 2007 roku podczas festynu w Nowym Targu.,0
"Z czego są znani bliźniacy Bolek i Lolek, popularni polscy aktorzy komediowi?","Bolek i Lolek to nie aktorzy, tylko postacie z serii filmów animowanych zainicjowanej w 1962 roku.",,,,T,"  Bolek i Lolek to tytułowi bohaterowie popularnego polskiego serialu animowanego dla dzieci, stworzonego w Studiu Filmów Rysunkowych w Bielsku-Białej. Bliźniacy są znani ze swoich przygód, podczas których często wpadają w różne tarapaty, ale zawsze potrafią się z nich jakoś wykaraskać. Serial emitowany był w latach 1963-1968 i składał się z 49 odcinków. Bolek i Lolek zostali stworzeni przez Władysława Nehrebeckiego i Stanisława Dulza.",4
"Czy Fryderyk Szopen to pseudonim artystyczny najbardziej znanego polskiego kompozytora, który często chodził z szopą potarganych włosów na głowie?",Nie. Fryderyk Chopin to prawdziwe nazwisko najbardziej znanego na świecie polskiego kompozytora.,,,,T,"  Tak, Fryderyk Chopin to pseudonim artystyczny Mikołaja Mateusza Szymańskiego, znanego polskiego kompozytora i pianisty. Jego potargane włosy to tylko jeden z wizerunków, jakie był znany. Chopin był znany zarówno z eleganckich, jak i nieco bardziej niechlujnych fryzur.",1
"Jak długo tygrys musi się paść na łące, żeby być syty?","Tygrys jest zwierzęciem mięsożernym, nie je trawy.",,,,T,"  Odpowiedź: Tygrysy są mięsożercami i nie muszą się paść na łące, aby być syte. Ich dieta składa się głównie z mięsa zdobytych ofiar.",5
W której porze roku gwiazdy Hollywood świecą najjaśniej na polskim niebie?,"Gwiazdy Hollywood, najsłynniejszej wytwórni filmowej na świecie, to aktorzy a nie ciała niebieskie.",,,,T,"  W Polsce najlepsze warunki do obserwacji gwiazd Hollywood na niebie panują wiosną i jesienią, gdy niebo jest najczystsze i najciemniejsze.",0
Czy do upieczenia babki piaskowej dobrze sprawdzi się piasek z plaży nad Bałtykiem?,"Nie, babki piaskowej nie robi się z piasku.",,,,T,"  Nie, piasek z plaży nad Bałtykiem nie jest odpowiedni do pieczenia babki piaskowej. Do wypieku tego rodzaju ciasta potrzebna jest mąka, cukier, jajka, tłuszcz (np. masło) oraz inne składniki w zależności od przepisu. Piasek z plaży nie zawiera tych składników i nie nadaje się jako produkt do pieczenia.",5
"Chciałam namalować zieloną łąkę, zmieszałam niebieską i czerwoną farbę, byłam wściekła. Obraz mi się nie podobał. Dlaczego?",Bo do niebieskiej dodałaś czerwoną farbę zamiast żółtej i trawa wyszła fioletowa.,,,,T,"  Twoja reakcja może być spowodowana kilkoma czynnikami:

1. Oczekiwania vs. Rezultat: Możesz mieć określone oczekiwania co do tego, jak powinna wyglądać zielona łąka, szczególnie jeśli chodzi o kolory i odcienie. Jeśli uzyskałaś inny efekt przez zmieszanie niebieskiej i czerwonej farby, mogłaś być rozczarowana, że nie osiągnęłaś zamierzonego rezultatu.

2. Percepcja kolorów: Zmieszanie niebieskiej i czerwonej farby może dać różne odcienie zieleni, w zależności od proporcji i techniki mieszania. Jeśli uzyskałaś kolor, który nie przypominał typowej zielonej łąki w Twojej wyobraźni, mogłaś być sfrustrowana.

3. Doświadczenie z mieszaniem kolorów: Jeśli wcześniej mieszałaś te kolory i uzyskałaś pożądany efekt, a tym razem nie osiągnęłaś tego, mogłaś być zaskoczona i rozczarowana.

4. Samoocena umiejętności artystycznych: Twoja reakcja może również wynikać z wątpliwości co do Twoich umiejętności artystycznych. Jeśli obawiasz się, że nie posiadasz wystarczających umiejętności, aby stworzyć pożądany efekt, frustracja mogła przerodzić się w gniew.

5. Oczekiwanie perfekcji: Możesz mieć wyidealizowaną wizję zielonej łąki i być niezadowolona, że nie udało Ci się osiągnąć tego ideału.

Pamiętaj, że w procesie twórczym ważne jest, aby akceptować różnorodność i eksperymentować z kolorami. Czasami nieplanowane rezultaty mogą prowadzić do odkrywczych i pięknych dzieł sztuki.",0
Jaki jest tytuł popularnej polskiej kolędy śpiewanej podczas Rezurekcji w kościele katolickim?,W Kościele katolickim nie śpiewa się kolęd podczas Rezurekcji.,,,,T,"  Tytuł tej kolędy to ""Zwycięzca śmierci"".",0
"Jak ugotować zupę warzywną z jabłek, gruszek i śliwek?","Z jabłek, gruszek i śliwek gotuje się zupę owocową.",,,,T,"  Gotowanie zupy warzywnej z jabłek, gruszek i śliwek to interesujący sposób na uzyskanie aromatycznego i smacznego dania. Oto przepis, który możesz wypróbować:

Składniki:
- 1 duża cebula (lub 2 mniejsze)
- 2-3 ząbki czosnku
- 2-3 marchewki
- 2-3 ziemniaki
- 1 duże jabłko
- 1 duża gruszka
- 3-4 suszone śliwki
- 1 litr bulionu warzywnego lub drobiowego
- 1 szklanka białego wina (opcjonalnie)
- Sól i pieprz do smaku
- 1 łyżeczka suszonego tymianku (lub 2-3 gałązki świeżego)
- 1 łyżeczka suszonego rozmarynu (lub 2-3 gałązki świeżego)
- Oliwa z oliwek

Instrukcje:
1. Przygotuj warzywa: Obierz i posiekaj cebulę, czosnek, marchewki i ziemniaki. Jabłko, gruszkę i śliwki myj i kroimy w kostkę.

2. W garnku rozgrzej oliwę z oliwek. Dodaj posiekaną cebulę i czosnek, smaż przez około 3-4 minuty, aż cebula się zeszkli.

3. Dodaj marchewki i ziemniaki do garnka. Smaż przez kolejne 3-4 minuty, mieszając od czasu do czasu.

4. Dolej białe wino, jeśli używasz, i gotuj, aż alkohol odparuje.

5. Zalej warzywa bulionem warzywnym lub drobiowym. Dodaj suszone zioła, sól i pieprz do smaku.

6. Przykryj garnek i gotuj na średnim ogniu przez około 20-25 minut, aż warzywa będą miękkie.

7. Gdy zupa jest gotowa, dodaj pokrojone jabłko, gruszkę i śliwki. Gotuj przez kolejne 5-10 minut, aż smaki się połączą.

8. Zupę możesz podawać z pieczywem, grzankami lub posypaną posiekanymi ziołami.

Smacznego!

Uwaga: możesz dostosować ilość składników do swoich preferencji smakowych. Jeśli wolisz bardziej intensywny smak, możesz dodać więcej jabłek, gruszek i śliwek.",0
Którymi w kolejności królami Polski byli Stanisław Batory i Stefan August Poniatowski?,Nie byli wcale królami Polski. W zdaniu zostały zamienione imiona królów. Powinno być: Stefan Batory i Stanisław August Poniatowski.,,,,T,"  Kolejność królów Polski, Stanisława Batorego i Stefana Augusta Poniatowskiego, jest następująca:

1. Stanisław Batory (1576-1586)
2. Stefan August Poniatowski (1764-1795)",0
"Czy Wisława Szymborska z radością pogratulowała Oldze Tokarczuk zdobycia literackiej nagrody Nobla, czy raczej z zazdrością?","Nie mogła tego zrobić, bo zmarła w 2012 roku a Olga Tokarczuk otrzymała nagrodę  Nobla w roku 2019.",,,,T,"  Nie mamy konkretnych informacji na temat tego, jak Wisława Szymborska zareagowała na wiadomość o zdobyciu literackiej nagrody Nobla przez Olgę Tokarczuk. Można jednak przypuszczać, że jako noblistka z 1996 roku, mogła odczuwać dumę i radość z sukcesu polskiej literatury.",0
"Mamy bezwietrzny dzień. Na środku pustyni, w miejscu oddalonym od cywilizacji i innych zwierząt kura zniosła jajko na dachu stodoły, która miała wysokość 12,74m. Dach jest płaski i bez nachylenia. Bez dotykania jajka kura przeszła po dachu dwa metry na południe, jeden na zachód, a finalnie jeszcze cztery na północ. W którą stronę spadnie jajko?",Jajko wcale nie spadnie.,,,,T,  Jajko spadnie na południe.,0
